VEC,∆χ,δ(%),ΔHmix,∆Smix,Type
6.72,0.13,6.57,10.28,14.01,SS
6,0.13,6.61,10.56,13.86,SS
8.77,0.1,2.94,0.12,12.01,SS
8.56,0.11,3.86,1.7,12.45,SS
8.36,0.12,4.49,3.27,12.72,SS
8.17,0.12,4.96,4.61,12.88,SS
8,0.12,5.32,5.78,12.98,SS
7.84,0.13,5.6,6.78,13.02,SS
7.73,0.12,5.45,4.5,14.7,SS
8,0.12,5.44,5.02,14.7,SS
7.55,0.12,5.51,7.93,14.7,SS
7.82,0.12,5.4,5.55,14.7,SS
7.64,0.12,5.43,3.9,14.7,SS
8.56,0.09,0.84,0.49,13.15,SS
8,0.11,4.37,4.6,14.53,SS
7.55,0.12,5.51,7.93,14.7,SS
7.17,0.13,6.12,10.14,14.53,SS
6.85,0.13,6.46,11.6,14.23,SS
7.22,0.12,5.92,7.7,13.15,SS
7.4,0.12,5.71,7.92,14.53,SS
7.55,0.12,5.51,7.93,14.7,SS
7.67,0.12,5.33,7.83,14.53,SS
7.77,0.12,5.17,7.67,14.23,SS
7.93,0.09,4.88,7.25,13.48,SS
8,0.11,4.75,7.03,13.09,SS
7.89,0.11,5.9,8.69,13.15,SS
7.7,0.11,5.7,8.32,14.53,SS
7.55,0.12,5.51,7.93,14.7,SS
7.42,0.12,5.34,7.56,14.53,SS
7.31,0.12,5.18,7.2,14.23,SS
7.44,0.12,5.81,10.17,13.15,SS
7.5,0.13,5.66,8.92,14.53,SS
7.55,0.13,5.51,7.93,14.7,SS
7.58,0.12,5.37,7.14,14.53,SS
7.62,0.12,5.23,6.49,14.23,SS
7,0.11,5.87,6.12,13.15,SS
7.3,0.12,5.68,7.28,14.53,SS
7.55,0.12,5.51,7.93,14.7,SS
7.75,0.12,5.35,8.28,14.53,SS
7.92,0.12,5.2,8.43,14.23,SS
8.07,0.12,5.06,8.45,13.87,SS
8.2,0.12,5.93,8.39,13.48,SS
8.4,0.12,3.2,2.72,13.38,SS
8,0.14,3.27,4.16,13.38,SS
8.09,0.14,4.21,0.27,14.43,SS
7.91,0.14,4.66,1.92,14.7,SS
7.66,0.14,5.15,3.97,14.87,SS
7.5,0.14,5.39,5.11,14.9,SS
7.92,0.14,4.96,1.74,14.74,SS
7.68,0.14,5.08,3.31,14.74,SS
7.6,0.15,5.05,4.23,14.74,SS
7.29,0.12,6.13,18.86,16.18,SS
6.6,0.22,8.54,17.24,19.14,SS
8.31,5.01,3.33,4.93,15.02,SS
8,5.38,4.17,7.82,15.3,SS
7.85,5.54,4.5,9.25,15.33,SS
4.36,6.51,3.33,10.7,13.03,SS
7.69,5.68,4.8,10.69,15.3,SS
7.08,6.14,5.74,16.39,14.22,SS
6.96,6.23,5.99,19.84,14.59,SS
6.86,6.29,6.19,22.76,14.78,SS
8.6,6.59,3.66,5.6,13.38,SS
8.83,7.13,4.2,6.11,12.98,SS
7.61,4.03,4.54,6.9,14.34,SS
8.27,10.93,3.97,1.52,14.7,SS
8.12,11.88,4.76,4.15,15.45,SS
7.98,12.62,5.34,6.42,15.76,SS
7.13,15.36,7.2,16.6,15.6,SS
8.16,11.27,3.99,2.5,15.45,SS
7.77,12.08,4.03,5.25,16,SS
7.09,15.9,5.59,11.44,14.7,SS
7.16,12.19,5.66,13.32,13.92,SS
8.25,9.67,1.18,3.75,11.53,SS
8.09,12.73,2.89,4.15,12.83,SS
7.95,11.74,4.4,8.89,12.83,SS
8.8,9.22,1.27,3.2,13.38,SS
8.36,12.24,4.82,3.7,14.7,SS
8.7,5.25,2.16,2.19,13.89,SS
8.19,5.44,1.66,4.4,11.93,SS
8.5,7.97,3.57,4,11.53,SS
