VEC,∆χ,δ(%),∆Smix,∆Hmix,phase
7.992,0.07838,3.318,13.46,4.25021,Multiphase
7.9755,0.07843,3.394,13.57,4.4353,FCCBCC
8.032,0.08328,3.42,13.85,4.56954,Multiphase
7.4,0.13127,10.105,13.38,19.52,Multiphase
6.16667,0.15504,9.316,14.9,19.7778,Multiphase
4.45,0.06749,4.78,11.44,2.44,BCC
8.3568,0.08028,3.383,13.66,2.27668,Multiphase
6.066,0.02103,1.431,2.04,0.44672,Multiphase
6.77125,0.06975,6.259,11.73,12.9785,Multiphase
8.32417,0.08717,3.919,9.88,4.15614,FCC
7.32,0.08529,5.737,17.99,9.9456,Multiphase
7.1956,0.06785,5.783,13.47,12.3618,BCC
4.404,0.08467,5.01,13.49,2.65654,BCC
8.5075,0.01793,0.725,6.8,1.26446,FCC
7.189,0.06804,5.825,13.58,12.5792,Multiphase
7,0.0758,6.122,11.93,15.3502,Multiphase
4.217,0.02103,3.921,11.52,16.9883,BCC
7.6,0.08797,5.727,13.38,14.4,Multiphase
7.80917,0.06134,13.732,15.08,9.55919,Multiphase
4.339,0.08506,5.218,9.71,1.69842,Multiphase
6.5,0.06464,6.215,11.53,11.5,FCC
8.004,0.079,3.298,13.47,4.21204,Multiphase
2.35667,0.19534,5.583,9.86,12.598,Multiphase
8.7616,0.05211,1.815,13.66,2.53952,Multiphase
7.4,0.12441,10.825,13.38,22.72,Multiphase
6.33167,0.05308,2.711,9.25,4.45732,BCC
7.676,0.07935,4.55,14.58,7.86392,FCC
4.4,0.03072,3.567,13.38,13.44,BCC
4.66667,0.22086,5.721,14.9,2.11111,BCC
7.5,0.06504,6.251,11.53,13.75,BCC
8.727,0.05528,1.473,11.7,4.53678,FCC
6.8,0.07944,5.841,13.38,12.48,BCC
10,0.08935,4.448,11.53,3.5,FCC
8.9975,0.07434,3.248,13.41,1.76104,Multiphase
8.237,0.05421,0.986,11.7,4.01886,Multiphase
8.23,0.05364,1.034,11.72,3.99233,FCC
7.899,0.07182,5.677,10.23,14.4585,Multiphase
5.4955,0.1879,4.976,11.66,4.26641,Multiphase
4.1625,0.09088,4.936,12.83,6.36585,BCC
7.8,0.08537,3.682,13.38,4.64,Multiphase
8.02,0.06619,5.981,12.11,4.8363,Multiphase
7.427,0.09613,6.531,11.58,8.35908,FCC
8.681,0.0561,1.936,11.93,4.11502,Multiphase
6.75,0.0697,6.274,11.53,13.25,BCC
4.5,0.06723,4.84,11.53,2.5,BCC
4.3895,0.08149,4.993,13.65,1.7861,BCC
7.71429,0.07963,5.192,16.18,5.63265,Multiphase
